Semana,CG<=75%,75%<CG<=100%,CG>100%,AnoSemana
Week 34,78.4,13.4,8.2,2025-Week 34
Week 35,78.4,13.4,8.2,2025-Week 35
Week 36,78.4,13.4,8.2,2025-Week 36
Week 37,78.4,13.4,8.2,2025-Week 37
Week 38,78.4,13.4,8.2,2025-Week 38
Week 39,78.4,13.4,8.2,2025-Week 39
Week 40,78.4,13.4,8.2,2025-Week 40
Week 41,78.4,13.4,8.2,2025-Week 41
Week 43,78.4,13.4,8.2,2025-Week 43
Week 44,78.4,13.4,8.2,2025-Week 44
Week 45,78.4,13.4,8.2,2025-Week 45
Week 46,78.4,13.4,8.2,2025-Week 46
Week 47,78.4,13.4,8.2,2025-Week 47
Week 48,78.4,13.4,8.2,2025-Week 48
Week 1,78.4,13.4,8.2,2026-Week 1
